time,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,3.59428486805322e-11,0,3.70382742152392e-11,-3.36534757588103e-07,3.92584468630977e-11,-6.29866349876863e-07,8.09477905189334e-11,-1.03236946228207e-06,4.98574099319098e-11,-5.08341724319267e-07,1.39858563597788e-10,-3.4030798031812e-07,6.92242943230238e-11,2.69409858882601e-06,2.22233197840206e-10,6.27167936027911e-06,9.47959852469329e-11,1.12998076455091e-05,3.36412466049925e-10,2.11130284261741e-05,1.31744394303346e-10,1.51748139530085e-05,5.13006921056509e-10,1.99961670368616e-05,1.59844051348791e-10,-3.23104729434298e-05,1.21430810283145e-10,-8.53632877980616e-05,-1.61860511709081e-09,-0.000200919964277965,-4.50805669981026e-09,-0.000392712048049781,-7.2490100408127e-09,-0.000378645971091491
0.01,0,0,8.89059221454533e-10,0,9.11267826664319e-10,-3.21954077677284e-06,9.56883800784932e-10,-4.64657085276492e-06,1.9664472481467e-09,-4.88432098959462e-06,1.17814377359679e-09,4.14202946879791e-06,3.31129774359497e-09,1.15577807951414e-05,1.51363049670367e-09,3.16657005252264e-05,5.00411573048677e-09,5.88732554542649e-05,1.86627922371611e-09,5.80654485092811e-05,7.40295318500119e-09,0.000100119453466678,2.96230165405075e-09,2.7410346613725e-07,1.01620884847612e-08,-4.49629369592138e-06,-9.42862355502529e-12,-0.000242730825954707,-4.89473164416653e-09,-0.000420899506927093,-3.83511965364554e-08,-0.000580149231004412,-7.43140178337868e-08,-0.00108380224237124,-9.1826322637056e-08,-0.000695825058523719
0.015,0,0,6.58483524311577e-09,0,6.68183004014991e-09,-7.09795330622139e-06,6.89303138587467e-09,-4.38210403129206e-06,1.40069267328355e-08,9.78328938103453e-06,7.7667369467297e-09,4.58133462503596e-05,2.20085199512563e-08,9.0354965001565e-05,8.06574041253062e-09,0.000110541829840555,3.067699062347e-08,0.000197889819152484,9.8242390128642e-09,7.54201812861686e-05,4.34632001725549e-08,0.000166037903429335,1.35793316225154e-08,-0.0001780152277004,4.07118212237018e-08,-0.000209940493787984,-3.57391140581988e-08,-0.000579094232988543,-6.91950561252347e-08,-0.000961927819757187,-1.96275162114962e-07,-0.000899812721565544,-3.4158643664918e-07,-0.00196438656681398,-3.21955419417954e-07,-0.00106898950201182
0.02,0,0,2.44745073305158e-08,0,2.46892488368472e-08,1.68076178102723e-05,2.49994806152692e-08,4.781121255756e-05,4.94726679876437e-08,0.000113632769569855,2.38597803162966e-08,0.00014555769246793,7.16789388293139e-08,0.00027908210787508,2.12620121405474e-08,0.000156145090999999,9.75830389206171e-08,0.000348154787917626,3.15989922651027e-08,-5.93585885003372e-05,1.24829765121706e-07,9.72123609953085e-05,5.77714751546094e-09,-0.00045893325241697,5.16391368341744e-08,-0.000574841687755588,-1.8413613499534e-07,-0.000880177540097574,-2.98791300117382e-07,-0.00164928683255888,-5.2944975974617e-07,-0.00125305776584425,-9.77814284586111e-07,-0.00299836911449695,-7.73675545325413e-07,-0.00138882476728788
0.025,0,0,5.71142356649384e-08,0,5.62753444108776e-08,0.00010643656224868,5.39542756404632e-08,0.000193064649150963,1.04855626873758e-07,0.000337117623807006,4.31842689809562e-08,0.000237118906596081,1.49659923911319e-07,0.000507918076272864,5.0854949980404e-08,6.70480595837593e-05,2.09771586104831e-07,0.000409152517569816,5.93907101980261e-08,-0.000286325238181055,2.20349298847526e-07,-9.30628379507978e-05,-7.56051201344294e-08,-0.00072833956559117,-3.65290199447891e-08,-0.00106294385579968,-4.88023491832185e-07,-0.001211383285439,-8.392172356783e-07,-0.00247966922208489,-1.12585852714214e-06,-0.00158790085271307,-2.20432988315919e-06,-0.00417197693424102,-1.51124174499694e-06,-0.00175773065134863
0.03,0,0,1.02543153319058e-07,0,9.09131857090263e-08,0.000215512882269466,7.48594280255667e-08,0.000351567318565771,1.57919959893493e-07,0.000558699062341447,6.77537470367379e-08,0.000274857431250924,2.44582751658668e-07,0.000678667881284617,1.04797093089323e-07,-6.24607958897946e-05,3.41066730219051e-07,0.000397009215971532,5.80623999717667e-08,-0.000515267002164573,2.66160289607597e-07,-0.000377666290731966,-2.7217944066287e-07,-0.00104202908443702,-3.57081058902663e-07,-0.0016791732331317,-1.04198621771531e-06,-0.00154536477060289,-1.89772982417205e-06,-0.00342973991748084,-2.03299286186622e-06,-0.00193323873543352,-4.28989565810548e-06,-0.00546256083688719,-2.60983822086414e-06,-0.00207502889747766
0.035,0,0,1.55526414411781e-07,0,1.23057615657931e-07,0.000245903302179728,8.54417652266372e-08,0.000401017224395288,2.05872730259209e-07,0.000635431408311989,9.86461241838819e-08,0.000306359161766556,3.40195015039521e-07,0.000743816443911831,1.57383531527777e-07,-0.000132906753820156,4.49043997017279e-07,0.000310857409794143,-2.64758567794742e-09,-0.000747556251676085,1.58774671240245e-07,-0.000750751641355819,-6.76019039529124e-07,-0.00136405886078246,-1.09482801880104e-06,-0.00238834706562646,-1.9058801907592e-06,-0.00189593296393296,-3.73775761589835e-06,-0.00449579814425982,-3.35963128442597e-06,-0.00228335714975633,-7.59097340729108e-06,-0.00688235469009256,-4.14772890630889e-06,-0.00245043726411645
0.04,0,0,1.93733650172909e-07,0,1.52582852368089e-07,0.000209247753907157,1.02611362656493e-07,0.000351652609405856,2.49138505700337e-07,0.00056305600152952,1.16853073798648e-07,0.000282806274877321,4.15358717838573e-07,0.000635443623208104,1.89408538122147e-07,-0.00019701907050523,4.84612613864707e-07,9.01209365257882e-05,-1.62444820422379e-07,-0.000912404164352011,-1.84154050607512e-07,-0.00119535253493571,-1.31349233990692e-06,-0.00164934427312765,-2.40289577434605e-06,-0.00316749907325529,-3.21294669176922e-06,-0.00226344618330918,-6.65737085629531e-06,-0.00565271612839745,-5.23486502939037e-06,-0.00267373626459015,-1.2558177132414e-05,-0.00842695475626709,-6.29818324088669e-06,-0.00281742815150492
0.045,0,0,1.95457526575702e-07,0,1.53157103629346e-07,0.00016533772842208,1.04933113770549e-07,0.00026440095275628,2.6284207907047e-07,0.000400280455820291,1.38921100932074e-07,0.000144710345738455,4.40696679849805e-07,0.000342956135034475,1.7004725315187e-07,-0.000310287276826768,3.98445645452062e-07,-0.000310290326896424,-4.13615371215265e-07,-0.00103225246446017,-7.96820873571831e-07,-0.00176040639575585,-2.18608862203712e-06,-0.00186711493791061,-4.33444831610492e-06,-0.00400802976160765,-4.99109640918995e-06,-0.00259803303867712,-1.08071988513109e-05,-0.00687639847169552,-7.85035153284692e-06,-0.0030868163862052,-1.95338574641782e-05,-0.0100785343027726,-9.22861648563643e-06,-0.00326941339330277
0.05,0,0,1.49569427094772e-07,0,1.19497134158525e-07,0.000101714105301702,9.12197273458587e-08,0.000146170401470106,2.34970383015173e-07,0.000183750140159109,1.51882038611674e-07,-3.26601062907062e-05,3.92753280777369e-07,-5.87171109484075e-05,8.98586848999234e-08,-0.000497074827102474,1.36819354697929e-07,-0.000890342365890776,-8.09969767891706e-07,-0.00119906220429644,-1.7539226295888e-06,-0.00250418952357464,-3.24634192104898e-06,-0.00204196365457135,-6.86764491721734e-06,-0.00496947248121473,-7.14177860098704e-06,-0.00286529636353051,-1.6059566688045e-05,-0.00814926471742541,-1.10591830730226e-05,-0.00343991339737783,-2.82598732669148e-05,-0.0117173151909363,-1.28244781527953e-05,-0.00362197532154999
0.055,0,0,9.40860850206213e-08,0,8.7106774678295e-08,2.2856228974922e-05,8.68158754732215e-08,7.46138652538948e-06,2.09699371197562e-07,-6.77362725432518e-05,1.54275993633929e-07,-0.000233074401094842,3.10680572718705e-07,-0.000530824673701352,-6.64635139309882e-08,-0.000733018432544789,-2.97866880166844e-07,-0.0016018176885222,-1.40755058688034e-06,-0.00143728855086255,-3.13748017294993e-06,-0.00344708361994029,-4.60211526589801e-06,-0.00226292377744452,-1.00952639117787e-05,-0.00611637218139178,-9.48283281455514e-06,-0.00305516598650724,-2.2102809308644e-05,-0.00948423775038933,-1.43049229775687e-05,-0.003624406255345,-3.77576196295188e-05,-0.0132395840613296,-1.63603488900982e-05,-0.00382788374603385
0.06,0,0,7.87007188252333e-08,0,9.35324391825699e-08,-4.86398839608598e-05,1.23686972307691e-07,-0.000133795260140302,2.63682352832548e-07,-0.000337391871356605,1.81126407327584e-07,-0.000476959096557398,2.8115708469765e-07,-0.00106874976815457,-3.10706504997463e-07,-0.00101917564575484,-8.50740508669854e-07,-0.00243651512375118,-2.27226458487056e-06,-0.00173897146916493,-4.98977267538559e-06,-0.00456550207954455,-6.33966106042021e-06,-0.00251516944989236,-1.40622643126787e-05,-0.00743624687271259,-1.19295176014894e-05,-0.00319872624403612,-2.87243304738299e-05,-0.0108868414174837,-1.71096474139076e-05,-0.00366031506021793,-4.7299164534297e-05,-0.0146569729698681,-1.93632383038646e-05,-0.0038179560008708
0.065,0,0,1.4503942754571e-07,0,1.81381306071366e-07,-0.000124973837138462,2.34486710811647e-07,-0.000281733317504225,4.45405310666049e-07,-0.000626247676546179,2.17441369847049e-07,-0.000750985591093111,3.1870557018353e-07,-0.00167958032926979,-7.05652797537844e-07,-0.00137581263169583,-1.58861026229781e-06,-0.00340155212361107,-3.46044381831019e-06,-0.00207197805895063,-7.32790506109368e-06,-0.00581660504267782,-8.3279107712742e-06,-0.00274624571572237,-1.86729059364431e-05,-0.00885210945223723,-1.44150206693922e-05,-0.00329811558353148,-3.59369318721956e-05,-0.0123559157379006,-1.98259861758801e-05,-0.00367536936521407,-5.73146857702085e-05,-0.0161286570170395,-2.22312798688523e-05,-0.0038324072598013
0.07,0,0,2.99403095034697e-07,0,3.51387245026539e-07,-0.000218518886115121,4.11866400001886e-07,-0.000462995506258385,7.28059214829228e-07,-0.000974170512369789,2.04300142708388e-07,-0.00106822427488339,3.07665159016528e-07,-0.00237919859588136,-1.34581686768548e-06,-0.00174505496352988,-2.66803578558415e-06,-0.00445439317152017,-4.96046473619116e-06,-0.00239332618892363,-1.02754962916381e-05,-0.00713293274686205,-1.05098216903559e-05,-0.00294610581698578,-2.4028272971671e-05,-0.0103163765127539,-1.70530612305149e-05,-0.00340615340196976,-4.41854406569567e-05,-0.0139069822436399,-2.29606082305032e-05,-0.00375281272988559,-6.89015519084702e-05,-0.017755622079802,-2.57036567450463e-05,-0.00389216007165321
0.075,0,0,5.05995074671302e-07,0,5.64044630753009e-07,-0.00034603613687649,6.02572132395999e-07,-0.000698394537076898,9.8530636164527e-07,-0.00140200741646911,2.94125155389506e-08,-0.00141112742878364,3.61861402097328e-08,-0.0031537738736256,-2.27055600131819e-06,-0.00208091692699162,-4.29540829520877e-06,-0.00553441471818295,-6.74054176075312e-06,-0.00266397996238571,-1.40635991396462e-05,-0.00845183461772235,-1.30392582526207e-05,-0.00315788931797534,-3.07015866280214e-05,-0.0118247254346808,-2.0277140566783e-05,-0.00357537573376059,-5.43950105773658e-05,-0.0155755307470584,-2.68052050138528e-05,-0.00390490531987286,-8.31491034529164e-05,-0.0195739786560794,-2.98518938943787e-05,-0.00405656527141582
0.08,0,0,7.3173978336687e-07,0,7.5687933899193e-07,-0.00049829279584178,7.02785122820864e-07,-0.000964112040212403,1.03405577136693e-06,-0.00186779995784551,-4.23277368074031e-07,-0.00174759277927849,-7.6676056645354e-07,-0.00394447438285465,-3.54165882963801e-06,-0.00238442043009986,-6.79575815672894e-06,-0.0066032273932888,-8.87379049442039e-06,-0.00292111414878092,-1.91752650357604e-05,-0.00976739593038722,-1.61476537081104e-05,-0.00339823690140358,-3.94183023546645e-05,-0.0133811676647958,-2.43671328724282e-05,-0.00381779735659415,-6.76123577281989e-05,-0.0173687216371443,-3.16460127876619e-05,-0.00413707319658312,-0.000101455749205518,-0.0215966132876909,-3.51185571727554e-05,-0.0042699242309307
0.085,0,0,9.28040400022671e-07,0,8.60440525266194e-07,-0.000629401585768006,6.25294556550914e-07,-0.00119969302926648,7.21417447377875e-07,-0.00228744814711486,-1.23272207733927e-06,-0.00206660952654494,-2.34352555028298e-06,-0.00468390237539677,-5.27811579962065e-06,-0.00269829952088079,-1.06101395555008e-05,-0.00764619254998643,-1.16277689451204e-05,-0.00321401830311649,-2.62745650626674e-05,-0.0110961092331413,-1.99792937512979e-05,-0.00368068146741459,-5.09495363607529e-05,-0.014994987659385,-2.94116647064439e-05,-0.00410814355226974,-8.47823150640162e-05,-0.0192867472047701,-3.78464768649815e-05,-0.00445301372109422,-0.000125143103082895,-0.0238357264482919,-4.17886961202529e-05,-0.00460759175916036
0.09,0,0,1.08048925291198e-06,0,8.70448653544087e-07,-0.000714403102235461,3.76005164109322e-07,-0.00136350515823087,4.31866575264291e-08,-0.00260218556609659,-2.42238233594066e-06,-0.00235459696842509,-4.7972791268729e-06,-0.00532403868281835,-7.66151379565427e-06,-0.00304863936790306,-1.60579771999989e-05,-0.00864113465811488,-1.52307434624614e-05,-0.00356778000575894,-3.59531807680865e-05,-0.0124404417250331,-2.48588429337586e-05,-0.00402627702385394,-6.61843594439934e-05,-0.0166872163963215,-3.56602616994379e-05,-0.00446189047101281,-0.000106931233832032,-0.021336312938836,-4.53431765515874e-05,-0.00481459012164625,-0.000155171951345041,-0.026249530090066,-4.99063071283993e-05,-0.00495860428079729
