time,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
0.085,0,0,1.60245656817935e-08,0,1.59617730912424e-08,-2.39000090271646e-06,1.51038440950056e-08,-6.93694981116086e-06,2.65402169039906e-08,-1.81162186010975e-05,1.9850644715138e-09,-2.65653579728097e-05,6.98128084697066e-09,-5.93390660836538e-05,-5.04332587840138e-08,-5.75960136783163e-05,-9.82412168028926e-08,-0.000136186597824554,-1.73783902912683e-07,-9.72055400340817e-05,-3.70101909354675e-07,-0.000255131775658461,-3.83516717912308e-07,-0.000140906308261249,-8.87218826737435e-07,-0.000417346198635514,-6.56159872721317e-07,-0.000182595878800051,-1.67859819438838e-06,-0.000617113335921932,-9.1502099032037e-07,-0.00021460145628217,-2.67142377825104e-06,-0.000840241289894421,-1.03669057992016e-06,-0.000227624957192506
0.09,0,0,2.10458898141301e-08,0,2.02889960382681e-08,-5.74951262272512e-06,1.76070933966562e-08,-1.33449452799042e-05,2.84517271662513e-08,-3.03403028841261e-05,-7.15269656168603e-09,-3.76183742102347e-05,-1.08707308459191e-08,-8.43589187291916e-05,-8.27823327722011e-08,-7.19633609002759e-05,-1.64911508691642e-07,-0.000176904915844808,-2.40930183931637e-07,-0.00011416003580627,-5.2567127393156e-07,-0.000313973153053897,-4.95612059624949e-07,-0.00016017370448942,-1.1800535662493e-06,-0.00049655170877478,-8.18839688736022e-07,-0.000204020963858257,-2.1578820666285e-06,-0.000718670986280947,-1.12299512386179e-06,-0.000237770465889021,-3.37221141432088e-06,-0.000965454431240316,-1.26592808804179e-06,-0.0002515404472924
0.095,0,0,2.67808199147491e-08,0,2.45514871935448e-08,-9.4444812184823e-06,1.86233028868189e-08,-2.04259050501541e-05,2.63677290967318e-08,-4.39016996290291e-05,-2.30460546654287e-08,-4.99860490319389e-05,-4.283640609807e-08,-0.000112278930490284,-1.28768970746762e-07,-8.80962765947657e-05,-2.62975979807385e-07,-0.000222398137068178,-3.29009007213805e-07,-0.000133058247256678,-7.37188399438192e-07,-0.000379546741747398,-6.35876515738448e-07,-0.000181397264913994,-1.5605644718922e-06,-0.000584433136649842,-1.01673312357818e-06,-0.000227375996674731,-2.76315474789943e-06,-0.000830821158187688,-1.37205341984839e-06,-0.000262845512791392,-4.24182559092486e-06,-0.00110316091323785,-1.53903272063528e-06,-0.000277353936533634
0.1,0,0,3.31808585065627e-08,0,2.85944044194649e-08,-1.33457422115809e-05,1.7779953529052e-08,-2.79552195722559e-05,1.93106170089069e-08,-5.84189736972678e-05,-4.71002439986801e-08,-6.34245630654498e-05,-9.21895262127793e-08,-0.000142559986469877,-1.91757520277336e-07,-0.0001059588854867,-4.00468123567564e-07,-0.000272248500112764,-4.44234230129449e-07,-0.000154172425187533,-1.0201901269528e-06,-0.00045180405912794,-8.12861683312696e-07,-0.000205003412621842,-2.05324716869197e-06,-0.000681350464235803,-1.25891921009327e-06,-0.000253027438274595,-3.52780765171577e-06,-0.000954236655974647,-1.67091799845954e-06,-0.000290092644607305,-5.32239506944956e-06,-0.00125428198081866,-1.8648496755758e-06,-0.000305309020854925
0.105,0,0,4.02205352489352e-08,0,3.2318873060447e-08,-1.73940763408502e-05,1.48084560134617e-08,-3.58185409595175e-05,6.5001226518797e-09,-7.36838474307278e-05,-8.05647742794704e-08,-7.77672101710662e-05,-1.61889574232992e-07,-0.000174849653492407,-2.75041328219882e-07,-0.000125450096828009,-5.85084929140462e-07,-0.000326083206803871,-5.92903568919008e-07,-0.000177577544461098,-1.39031260379751e-06,-0.0005305531574546,-1.03607906126539e-06,-0.000231274369640395,-2.68454184168759e-06,-0.000787474133216829,-1.55731545478606e-06,-0.000281402609123095,-4.49094652717186e-06,-0.00108954962715318,-2.03286044925173e-06,-0.000319997346852264,-6.66663722346811e-06,-0.00141994120273488,-2.25717407242636e-06,-0.000335897590919522
0.11,0,0,4.78130290865727e-08,0,3.55658042412594e-08,-2.15730259250439e-05,9.36767702311248e-09,-4.39876503129545e-05,-1.30334218468667e-08,-8.96400527145418e-05,-1.24866043918835e-07,-9.29577961937503e-05,-2.55196378002796e-07,-0.000209009768875917,-3.8187118286774e-07,-0.00014646252055169,-8.24491160416644e-07,-0.000383651608828153,-7.80720805656775e-07,-0.000203178078845972,-1.86267480308101e-06,-0.000615528681471206,-1.31503220870673e-06,-0.000260310788057759,-3.48163722586861e-06,-0.00090279882703182,-1.92663243233523e-06,-0.00031292465986984,-5.69677849689101e-06,-0.00123730911055799,-2.47677679463678e-06,-0.000353212419284361,-8.33845926465276e-06,-0.00160137559855571,-2.73604624325299e-06,-0.00036982160926465
0.115,0,0,5.58865988180177e-08,0,3.81343516580633e-08,-2.59133092596772e-05,1.00323738368613e-09,-5.25034503051132e-05,-4.04222319648196e-08,-0.000106333706310857,-1.81504658895998e-07,-0.000108973259778216,-3.75480472317299e-07,-0.000245015134823869,-5.15333038515838e-07,-0.000168881553905216,-1.12631939700999e-06,-0.000444802488984909,-1.01338230856173e-06,-0.000230861621980129,-2.4527050272306e-06,-0.000706535586546089,-1.65997345061125e-06,-0.000292163286419597,-4.47329638782403e-06,-0.00102731360605526,-2.38343796430381e-06,-0.00034791915464322,-7.19360296300237e-06,-0.00139795421003829,-3.02470080062061e-06,-0.000390289963701434,-1.0409272757362e-05,-0.00179961629241253,-3.32492527267156e-06,-0.000407686512225331
0.12,0,0,6.45058799242021e-08,0,3.99179086660836e-08,-3.04496407184082e-05,-1.06867562833103e-08,-6.14089197631852e-05,-7.66307237192193e-08,-0.000123813107716173,-2.51876314534644e-07,-0.000125790210717609,-5.25893346404108e-07,-0.000282862694924108,-6.7862496668044e-07,-0.000192641808923725,-1.49852627159041e-06,-0.000509486158174043,-1.29763535774304e-06,-0.000260614760491382,-3.17765462763742e-06,-0.000803562495094501,-2.08293878545938e-06,-0.000326924736618408,-5.6916051203956e-06,-0.00116114585512304,-2.94518434760218e-06,-0.000386561962544616,-9.03290371849442e-06,-0.00157180748794784,-3.69752378893768e-06,-0.000431435518573768,-1.29520221062555e-05,-0.00201519362324913,-4.04548488087187e-06,-0.000449701995761563
0.125,0,0,7.38755348825553e-08,0,4.10158593073073e-08,-3.51631174695318e-05,-2.58414887179911e-08,-7.06788222060601e-05,-1.22263545158475e-07,-0.000142047997818743,-3.37450723909429e-07,-0.000143418313660722,-7.09769258069344e-07,-0.000322561685933945,-8.76017041657118e-07,-0.000217814080668988,-1.95081921022665e-06,-0.00057780939708407,-1.64217024901688e-06,-0.00029255507253857,-4.05841183616955e-06,-0.000906829568687455,-2.59748604189239e-06,-0.000364687955644776,-7.17278948169064e-06,-0.00130455774347767,-3.62857355066601e-06,-0.000428833661237211,-1.12681363903523e-05,-0.0017590471314793,-4.51272905043646e-06,-0.000476511274476607,-1.60376891452963e-05,-0.00224812493908715,-4.91527061621469e-06,-0.000495697338506845
0.13,0,0,8.41609513456708e-08,0,4.1570651696545e-08,-4.00054324304374e-05,-4.44958518123026e-08,-8.02534427963458e-05,-1.77986427242552e-07,-0.000160980658698314,-4.40200269388769e-07,-0.000161918092304519,-9.31700230914451e-07,-0.00036419066592091,-1.11365574086832e-06,-0.000244596671070692,-2.49636263950011e-06,-0.000650060442575582,-2.05786295857474e-06,-0.000326871941222178,-5.12071222560877e-06,-0.00101673682012455,-3.21747216152155e-06,-0.000405467005769193,-8.95691271276487e-06,-0.00145785085403653,-4.44811232451386e-06,-0.000474529789672598,-1.39537785577368e-05,-0.00195969796233188,-5.48463665909519e-06,-0.000525188289964758,-1.97350587300828e-05,-0.00249809020947305,-5.94862173071275e-06,-0.000545323426324002
